Date       AdjClose
11/29/13   76.497869
11/27/13   75.107051
11/26/13   73.379185
11/25/13   72.050273
11/22/13   71.50825
11/21/13   71.692593
11/20/13   70.84792
11/19/13   71.473859
11/18/13   71.347293
11/15/13   72.222236
11/14/13   72.65833
11/13/13   71.622437
11/12/13   71.537139
11/11/13   71.405077
11/8/13   71.612805
11/7/13   70.502627
11/6/13   71.662331
11/5/13   71.865936
11/4/13   72.043737
11/1/13   71.124642
10/31/13   71.489814
10/30/13   71.790716
10/29/13   70.666464
10/28/13   72.471829
10/25/13   71.935692
10/24/13   72.749473
10/23/13   71.798918
10/22/13   71.102758
10/21/13   71.306549
10/18/13   69.601019
10/17/13   69.000597
10/16/13   68.536948
10/15/13   68.204594
10/14/13   67.843519
10/11/13   67.401754
10/10/13   66.968192
10/9/13   66.551042
10/8/13   65.778289
10/7/13   66.709699
10/4/13   66.064143
10/3/13   66.116113
10/2/13   66.95725
10/1/13   66.73842
9/30/13   65.205221
9/27/13   66.025847
9/26/13   66.500438
9/25/13   65.858987
9/24/13   66.894338
9/23/13   67.104965
9/20/13   63.92779
9/19/13   64.596596
9/18/13   63.554408
9/17/13   62.274238
9/16/13   61.563031
9/13/13   63.584495
9/12/13   64.649939
9/11/13   63.968819
9/10/13   67.652044
9/9/13   69.229003
9/6/13   68.141682
9/5/13   67.738206
9/4/13   68.205967
9/3/13   66.823215
8/30/13   66.637211
8/29/13   67.249941
8/28/13   67.140522
8/27/13   66.824581
8/26/13   68.791343
8/23/13   68.52464
8/22/13   68.789969
8/21/13   68.707913
8/20/13   68.531477
8/19/13   69.443735
8/16/13   68.703808
8/15/13   68.09928
8/14/13   68.179978
8/13/13   66.958616
8/12/13   63.920953
8/9/13   62.155244
8/8/13   63.052462
8/7/13   63.178291
8/6/13   63.214979
8/5/13   63.785645
8/2/13   62.84676
8/1/13   62.050543
7/31/13   61.486669
7/30/13   61.594013
7/29/13   60.842634
7/26/13   59.918697
7/25/13   59.580371
7/24/13   59.853477
7/23/13   56.929485
7/22/13   57.924078
7/19/13   57.739289
7/18/13   58.664587
7/17/13   58.467572
7/16/13   58.452623
7/15/13   58.077616
7/12/13   57.951253
7/11/13   58.057233
7/10/13   57.165906
7/9/13   57.386018
7/8/13   56.394147
7/5/13   56.716165
7/3/13   57.175416
7/2/13   56.861551
7/1/13   55.602005
6/28/13   53.877777
6/27/13   53.504123
6/26/13   54.087019
6/25/13   54.706601
6/24/13   54.694373
6/21/13   56.183544
6/20/13   56.63736
6/19/13   57.474336
6/18/13   58.665944
6/17/13   58.697197
6/14/13   58.432244
6/13/13   59.235252
6/12/13   58.723012
6/11/13   59.458086
6/10/13   59.633361
6/7/13   60.030112
6/6/13   59.574936
6/5/13   60.478493
6/4/13   61.049159
6/3/13   61.240742
5/31/13   61.10623
5/30/13   61.357592
5/29/13   60.456753
5/28/13   59.97984
5/24/13   60.483928
5/23/13   60.07495
5/22/13   59.967609
5/21/13   59.737984
5/20/13   60.18229
5/17/13   58.868397
5/16/13   59.047751
5/15/13   58.269196
5/14/13   60.308653
5/13/13   61.786954
5/10/13   61.546455
5/9/13   62.06277
5/8/13   62.608986
5/7/13   61.909793
